"termo","coeficiente","erro_padrao","p_valor"
"factor(celula_ocup_ativ)3_10",-0.450755036780416,0.160979010580306,0.00608199175961143
"factor(celula_ocup_ativ)3_2",-0.0708124635718559,0.146158942461417,0.629047672539942
"factor(celula_ocup_ativ)3_3",-0.285090365389177,0.141407137797314,0.0463436748323238
"factor(celula_ocup_ativ)3_4",-0.281133991613796,0.156698860976795,0.0756745975860083
"factor(celula_ocup_ativ)3_7",-0.060197808432654,0.147204656379609,0.683416913611715
"factor(celula_ocup_ativ)3_8",0.216281702726205,0.13701019089734,0.117440177647666
"factor(celula_ocup_ativ)3_9",-0.2554393307429,0.135135200012687,0.0614818812100839
"factor(celula_ocup_ativ)4_10",-0.6286501525068,0.141861150722206,2.30623014826136e-05
"factor(celula_ocup_ativ)4_2",-0.254043496690104,0.135368875772721,0.0633389523160732
"factor(celula_ocup_ativ)4_4",-0.514455987663726,0.141695352181731,0.000438731680823146
"factor(celula_ocup_ativ)4_5",-0.487635125291728,0.150808542000611,0.00163493584069762
"factor(celula_ocup_ativ)4_6",-0.590869478822929,0.139668914559787,4.99975916349378e-05
"factor(celula_ocup_ativ)4_7",-0.453028968760027,0.135489787940576,0.00114700068252603
"factor(celula_ocup_ativ)4_8",-0.101641580471092,0.13349922472278,0.448145956466831
"factor(celula_ocup_ativ)4_9",-0.41666813325522,0.13401202625084,0.00241490670852332
"factor(celula_ocup_ativ)5_10",-0.434774571825558,0.139077993687236,0.00229132321883111
"factor(celula_ocup_ativ)5_11",-0.778585615519768,0.133691934416627,6.34863041210621e-08
"factor(celula_ocup_ativ)5_2",-0.466762636690766,0.162876723223755,0.00502670531536987
"factor(celula_ocup_ativ)5_4",-0.502408529023326,0.133993693556226,0.000290311020154975
"factor(celula_ocup_ativ)5_6",-0.630571092421691,0.132635059884094,6.36599497137054e-06
"factor(celula_ocup_ativ)5_7",-0.579423580981613,0.126942569545968,1.36557659969589e-05
"factor(celula_ocup_ativ)5_8",0.23068485330948,0.141549053290958,0.106157845230707
"factor(celula_ocup_ativ)5_9",-0.506977236851529,0.133363979982172,0.000241666711544085
"factor(celula_ocup_ativ)6_1",-0.509031878191231,0.13178744985458,0.000194402563084869
"factor(celula_ocup_ativ)7_1",-0.641604432079704,0.172289872538745,0.000317470817070595
"factor(celula_ocup_ativ)7_10",-0.796482427433426,0.188332133972446,5.02570444987376e-05
"factor(celula_ocup_ativ)7_2",-0.443488457884314,0.134703745205199,0.00135426393795176
"factor(celula_ocup_ativ)7_3",-0.516014803751829,0.13536921944879,0.00023286867927383
"factor(celula_ocup_ativ)7_4",-0.529034932424132,0.136212783757989,0.00018005469444615
"factor(celula_ocup_ativ)7_6",-0.451295612888888,0.128875988698213,0.000679999922144581
"factor(celula_ocup_ativ)7_7",-0.421855276729137,0.165411203531704,0.0122044912240664
"factor(celula_ocup_ativ)8_1",-0.241147384179338,0.136461349070164,0.0801088679069911
"factor(celula_ocup_ativ)8_2",-0.448262198187386,0.157517504491713,0.00532808371252526
"factor(celula_ocup_ativ)8_3",-0.287024027972257,0.142044726823671,0.0458605662223765
"factor(celula_ocup_ativ)8_4",-0.562233384265618,0.134276414238789,5.8912319221263e-05
"factor(celula_ocup_ativ)8_5",-0.415959907857717,0.134471803506358,0.00253651632238806
"factor(celula_ocup_ativ)8_6",-0.428478032486315,0.148422883447783,0.00472457903827493
"factor(celula_ocup_ativ)8_7",-0.515511320695019,0.140691534956956,0.000390972851901856
"factor(celula_ocup_ativ)8_8",-0.296751486403069,0.139335764795524,0.0355281482913309
"factor(celula_ocup_ativ)9_1",-0.786608751021209,0.123299214521845,4.87644213303431e-09
"factor(celula_ocup_ativ)9_10",-0.80935727020254,0.18014770020879,1.81351087758774e-05
"factor(celula_ocup_ativ)9_11",-0.877814745422124,0.133960642292115,2.15085543444845e-09
"factor(celula_ocup_ativ)9_2",-0.35990594895064,0.136131366021152,0.00945412686854644
"factor(celula_ocup_ativ)9_3",-0.802135416287448,0.134489620944178,3.35014851161728e-08
"factor(celula_ocup_ativ)9_4",-0.698133975805967,0.129313445089259,4.19478734873049e-07
"factor(celula_ocup_ativ)9_5",-0.580676360672442,0.19428791063542,0.00348872957619676
"factor(celula_ocup_ativ)9_6",-0.719228635015619,0.141834521127914,1.71261209047831e-06
"factor(celula_ocup_ativ)9_7",-0.691215397294171,0.131345083819141,7.56657655695319e-07
"factor(celula_ocup_ativ)9_8",-0.507198359808425,0.133055306545011,0.000232843968147014
"factor(celula_ocup_ativ)9_9",-0.693869907989563,0.133660776603885,1.02729899657439e-06
"factor(celula_ocup_ativ)outras",-0.331364073828416,0.146891890852719,0.0261538979718791
"factor(periodo)2017T4",0.0444461835364014,0.029742849442985,0.138083773839612
"factor(periodo)2018T4",-0.00152003575777667,0.0316395546766713,0.961773823711832
"factor(periodo)2019T4",-0.0325182418096962,0.0297382282808834,0.276684184636488
"factor(periodo)2020T4",-0.0549266741653151,0.0358817207250637,0.128833478548163
"factor(periodo)2021T4",-0.0629064363440983,0.0294520438063472,0.0350122542337135
"factor(periodo)2022T4",-0.0291058051183879,0.0350690918123473,0.408446644992157
"factor(periodo)2023T4",-0.000365605422259738,0.0251015279552143,0.988406808461004
"factor(periodo)2024T4",0.0333775169489972,0.0304453385023905,0.275451386270829
"factor(periodo)2025T4",0.0458631093805,0.0304925683322737,0.135564090662958
"formal:mulher",0.0671100011921222,0.0223190526060456,0.00330315064993919
"formal:factor(raca_grupo)indigena",-0.0415070252860296,0.0535612588156194,0.440113895945649
"formal:factor(raca_grupo)pardo",-0.0172850942978323,0.0291869778684469,0.554976825680614
"formal:factor(raca_grupo)preto",-0.0150907100950643,0.0389227602223746,0.699016131725924
"mulher:factor(raca_grupo)indigena",0.0581887049391546,0.041523455482208,0.164059662367102
"mulher:factor(raca_grupo)pardo",0.0255130692769732,0.0273668213806452,0.353339446466107
"mulher:factor(raca_grupo)preto",-0.0183208141030421,0.0422135536270812,0.665176643017642
